OBJECTID,LST_2015,LST_2020,NDVI_2015
178,24.97557412840,24.20390000000,0.48176000000
179,26.46762665020,26.01090000000,0.49371000000
180,25.84657957000,28.02650000000,0.52224900000
181,26.69111403000,29.43990000000,0.54794200000
182,24.17244989070,24.80860000000,0.65114300000
183,23.85342417050,24.26270000000,0.67108700000
184,24.38958410860,29.85250000000,0.42332400000
185,24.97933195160,27.57960000000,0.60870200000
186,27.20563492430,29.38050000000,0.71905000000
187,27.63544331210,30.19710000000,0.47140700000
188,26.71888425890,29.09250000000,0.56797600000
189,26.99917136710,29.11390000000,0.52953700000
190,25.41482967530,27.65670000000,0.62752400000
191,25.40221750760,29.36230000000,0.59611400000
192,28.04764453110,31.46820000000,0.41203400000
193,28.08715269730,31.79130000000,0.45870700000
194,26.17946673420,27.83070000000,0.56179800000
195,25.83692148060,26.52440000000,0.53976700000
196,26.35602445740,27.62170000000,0.67787200000
197,28.37672810910,30.21410000000,0.51658300000
198,26.69053646980,27.62660000000,0.51444400000
199,28.26378932210,31.86650000000,0.39413000000
200,27.39197855760,32.10890000000,0.60987700000
201,28.41100404320,33.71860000000,0.42694000000
202,28.53493225370,33.71740000000,0.36559400000
203,28.10337224890,31.16780000000,0.40540000000
204,28.86236152690,31.89990000000,0.35161800000
205,29.55646050000,32.94040000000,0.28030500000
206,29.94026869290,33.52830000000,0.26684400000
207,26.34538272720,29.89500000000,0.21963600000
208,19.82383800000,21.43710000000,0.24060500000
209,25.43404959410,29.45870000000,0.34541500000
210,28.06407501320,30.59560000000,0.48821400000
211,27.15252779360,28.85490000000,0.54391000000
212,25.56218431530,28.07210000000,0.61391800000
213,26.50004576520,28.54570000000,0.55755600000
214,27.72807964950,29.59940000000,0.49551200000
215,28.94220685290,31.24260000000,0.48262300000
216,30.49211322940,33.69440000000,0.27935600000
217,29.60830047000,32.62010000000,0.40075900000
218,27.40599149270,29.30770000000,0.51948200000
219,25.53267141160,27.12810000000,0.79923300000
220,24.23930484700,27.79840000000,0.64675800000
221,24.52105742210,28.59950000000,0.58483200000
222,24.24170976970,28.70210000000,0.50256200000
223,24.94760033320,25.32520000000,0.53550600000
224,23.16897224070,25.40610000000,0.65368100000
225,22.61235573160,25.08210000000,0.63723200000
226,22.17636566160,22.95620000000,0.70337000000
227,25.76184865320,27.17280000000,0.57824200000
228,25.01519895220,27.18580000000,0.65316600000
229,25.28908251840,28.36280000000,0.59396000000
230,27.14557486220,29.85640000000,0.42099100000
231,29.18555535890,32.76840000000,0.35556600000
232,28.63768828440,31.97600000000,0.42764900000
233,28.71382862210,31.25430000000,0.36558300000
234,27.30252616530,31.41090000000,0.49323800000
235,24.54470427940,32.16340000000,0.59721100000
236,26.53696963890,30.06170000000,0.53366900000
237,27.10239598610,29.57000000000,0.52658300000
238,27.19966575050,29.56320000000,0.46615100000
239,27.54872188170,30.89380000000,0.44987900000
240,28.09111934680,31.84190000000,0.30379500000
241,30.42179977940,33.89260000000,0.32797400000
242,29.40553792680,31.95170000000,0.34218600000
243,28.19237069370,31.23010000000,0.41964200000
244,27.91449221940,29.37680000000,0.45220700000
245,26.29859772370,28.22900000000,0.55798900000
246,26.12506380440,28.04690000000,0.55409800000
247,26.47219716050,28.41850000000,0.48891900000
248,26.82827922170,27.97790000000,0.56589700000
249,28.53927973530,31.18360000000,0.43701000000
250,28.41705720330,31.01170000000,0.39160300000
251,27.79317194260,30.98900000000,0.50581500000
252,28.86791900000,32.69610000000,0.37609200000
253,28.10570100000,29.32590000000,0.40931000000
254,28.48588066840,32.42030000000,0.32771900000
255,27.86873927890,29.94200000000,0.45693500000
256,28.23170790630,30.26530000000,0.30550300000
257,28.12750660170,30.07360000000,0.52949800000
258,27.76288948470,29.22650000000,0.53305600000
259,27.67977763000,29.10130000000,0.56729500000
260,29.61468677050,31.81100000000,0.40901300000
261,28.50098192050,30.46330000000,0.42341900000
262,28.58066853720,30.71760000000,0.42797900000
263,28.72726084110,31.00960000000,0.45633700000
264,25.81289519390,27.29940000000,0.58197200000
265,24.67609761000,24.74620000000,0.39744500000
266,26.42704165170,28.43540000000,0.51697900000
267,28.63450457320,30.64440000000,0.33550300000
268,26.18859255890,28.01830000000,0.54456100000
269,25.16872224110,26.81820000000,0.63672100000
270,22.88012798420,26.90130000000,0.74181300000
271,26.66324911900,28.23190000000,0.55119400000
272,24.72774769000,27.42970000000,0.69882200000
273,25.68366920430,27.78180000000,0.63316600000
274,27.51689198680,30.89160000000,0.34920500000
275,28.46819091580,31.98280000000,0.47302100000
276,28.20479349740,31.40050000000,0.48038300000
277,27.78428393340,30.34620000000,0.46807900000
278,26.57415336220,30.33290000000,0.46710000000
279,27.06508371160,31.09890000000,0.43982900000
280,27.42659429470,29.20960000000,0.49391300000
281,27.31301009210,28.78650000000,0.46237500000
282,28.55688900820,31.49340000000,0.41698300000
283,27.43189122630,29.94640000000,0.47355200000
284,28.81391275040,32.23190000000,0.36291600000
285,28.90117009840,33.10340000000,0.30048500000
286,28.29849237710,30.96260000000,0.39161200000
287,27.86539799810,30.08740000000,0.44201000000
288,27.39754112470,29.46510000000,0.42415900000
289,26.76776857270,29.07350000000,0.47349700000
290,26.50480826950,28.46280000000,0.50649600000
